customer_id,gender,age,city,booking_source,membership_type,membership_duration_months,loyalty_member,total_visits,days_since_last_visit,avg_visit_gap_days,preferred_service,num_services_used,has_preferred_employee,employee_change_count,avg_spend_per_visit,last_visit_spend,total_spend,products_purchased,product_spend,feedback_given,avg_rating,num_complaints,offers_redeemed,appointments_cancelled,appointments_no_show,avg_advance_booking_days,sms_sent,sms_responses,sms_response_rate,referrals_made,visit_time_preference,churn_risk_category,churn
CUST00020,Male,52,Nagpur,Walk-in,Silver,2,0,1,340,180,Detan,7,1,1,797.31,809.96,828.28,3,2193.28,1,4.7,0,7,3,1,12,16,8,0.5,5,Weekend,Medium,0
CUST00021,Female,61,Nagpur,Walk-in,Gold,14,1,22,170,16,Threading,3,0,1,1206.17,1099.27,26986.89,1,675.26,0,3.2,1,0,1,1,13,15,9,0.6,1,No_Preference,Medium,0
CUST00022,Male,25,Pune,Walk-in,Silver,5,0,14,434,26,Blowout,6,0,0,348.7,404.98,5596.84,5,1960.22,1,3.6,0,0,0,0,12,17,12,0.71,4,Morning,High,1
CUST00023,Male,19,Latur,AI Calling,Platinum,57,1,34,155,10,Hair_Color,5,1,2,1472.89,1858.02,51321.07,5,2227.1,0,3.2,1,3,3,2,1,12,0,0,0,Evening,Medium,0
CUST00024,Male,23,Kolhapur,Website,Gold,31,1,24,499,15,Waxing,6,1,0,618.31,440.87,15027.99,5,2283.57,1,4.4,0,0,0,1,12,2,2,1,3,Weekend,High,1
CUST00025,Female,48,Nashik,Walk-in,Silver,17,1,11,329,33,Threading,4,1,3,606.6,595.56,7555.18,1,610.12,0,5,0,5,0,1,4,4,3,0.75,4,Afternoon,Medium,1
CUST00026,Female,27,Akola,AI Calling,Platinum,55,1,43,170,8,Keratin,6,1,2,1455.41,1166.97,62197.23,4,2187.89,0,4.1,1,2,3,1,4,2,2,1,5,Morning,Medium,0
CUST00027,Male,61,Mumbai,Website,Silver,6,0,10,329,36,Haircut,2,1,1,822.62,586.99,7481.38,4,1740.44,1,4.2,0,3,2,1,0,12,9,0.75,5,No_Preference,Medium,0
CUST00028,Female,38,Mumbai,Website,Silver,13,1,4,383,91,Blowout,4,1,4,398.43,553.11,1542.56,5,1826.39,1,2.9,3,3,4,1,2,5,0,0,5,Evening,High,1
CUST00029,Female,59,Solapur,Website,Silver,7,0,4,445,91,Hair_Color,2,0,4,702.54,823.11,2633.81,5,3081.4,0,3.3,1,3,1,1,1,12,0,0,1,Afternoon,High,1
CUST00030,Male,27,Aurangabad,Walk-in,Gold,13,1,12,233,30,Threading,2,1,2,1361.66,1384.28,16375.92,3,661.03,0,3.5,1,2,1,0,3,7,3,0.43,4,No_Preference,Medium,0
CUST00031,Female,40,Pune,Website,Silver,18,1,9,333,40,Facial,5,1,2,878.89,880.39,8818.53,5,1695.13,0,3.6,1,6,1,2,2,10,6,0.6,5,Morning,Medium,0
CUST00032,Male,20,Solapur,Website,Silver,6,0,2,495,180,Keratin,4,0,1,815.34,1050.66,1390.05,4,1003.71,1,4.4,1,7,4,2,9,1,1,1,4,No_Preference,High,1
CUST00033,Male,49,Solapur,Walk-in,Silver,12,0,14,280,26,Massage,7,0,4,422.65,464.71,5968.16,3,740.47,1,4.5,0,6,4,1,13,3,3,1,4,Afternoon,Medium,1
CUST00034,Female,37,Latur,Walk-in,Gold,10,0,11,204,33,Massage,6,0,0,1255.29,1536.86,14097.97,0,0,1,4.2,0,4,2,2,13,8,8,1,2,Evening,Medium,0
CUST00035,Female,27,Kolhapur,Website,Silver,3,0,9,295,40,Manicure,5,0,0,410.74,552.16,3454.48,1,760.02,0,4,0,3,4,2,2,19,3,0.16,2,Afternoon,Medium,0
CUST00036,Female,46,Nashik,Website,Silver,19,1,12,173,30,Pedicure,6,1,0,658.84,868.68,7999.29,5,1017.08,0,4.6,1,7,0,0,7,12,6,0.5,4,Weekend,Low,0
CUST00037,Male,58,Akola,Walk-in,Silver,11,0,14,178,26,Blowout,4,1,0,443.48,339.92,6943.68,1,474.2,0,3.6,0,0,3,0,2,6,5,0.83,3,No_Preference,Medium,0
CUST00038,Male,51,Mumbai,AI Calling,Gold,22,1,17,338,21,Hair_Color,3,0,4,1265.15,1315.99,23855.21,3,2245.33,1,4,0,2,4,0,4,11,10,0.91,3,No_Preference,Medium,1
CUST00039,Female,54,Mumbai,Walk-in,Silver,2,0,10,144,36,Detan,6,1,4,631.38,721.95,5742.87,4,2055.23,1,3.8,1,5,3,1,10,9,7,0.78,2,Weekend,Medium,0
CUST00040,Female,37,Mumbai,AI Calling,Silver,3,0,13,192,28,Haircut,1,1,1,373.3,382.36,4885.19,0,0,1,4.2,1,0,2,0,6,16,0,0,3,Evening,Medium,1
CUST00041,Male,25,Nagpur,Website,Gold,19,1,18,192,20,Facial,4,0,2,691.67,624.67,13314.78,5,1477.89,1,4.1,0,6,2,2,5,1,1,1,1,Afternoon,Medium,0
CUST00042,Female,24,Kolhapur,Website,Silver,17,1,7,491,52,Haircut,4,0,4,504.01,676.14,4006.26,1,359.25,1,3.1,2,3,4,0,10,2,2,1,4,Weekend,High,1
CUST00043,Male,23,Pune,Walk-in,Gold,32,1,9,205,40,Blowout,7,1,4,631.34,839.08,6109.56,4,978.6,1,2.6,1,4,3,1,7,13,6,0.46,4,Weekend,Medium,0
CUST00044,Female,28,Mumbai,AI Calling,Platinum,25,1,37,364,9,Threading,3,1,2,2224.93,2868.59,86300.42,3,996.18,1,3.9,0,3,1,1,3,1,0,0,0,Evening,Medium,0
CUST00045,Male,61,Latur,Walk-in,Gold,22,1,8,386,45,Haircut,7,0,3,892.52,1207.91,6592.51,3,2030.76,1,5,1,3,0,1,5,8,0,0,2,No_Preference,Medium,1
CUST00046,Female,35,Mumbai,AI Calling,Silver,5,0,1,298,180,Waxing,3,0,0,819.34,999.7,821.05,2,1150.13,1,2.8,3,4,3,0,5,13,9,0.69,1,Afternoon,High,1
CUST00047,Male,59,Pune,AI Calling,Silver,13,1,9,467,40,Detan,7,0,4,685.73,667.12,5981.14,4,918.67,0,3.5,0,3,4,2,3,14,0,0,2,No_Preference,High,1
CUST00048,Female,46,Nagpur,Website,Silver,22,1,13,489,28,Massage,2,1,4,782.72,820.59,9881.59,4,1365.62,0,3.4,1,2,0,1,8,14,12,0.86,3,Afternoon,High,1
CUST00049,Female,42,Latur,Website,Platinum,30,1,35,302,10,Massage,1,0,0,928.93,1186.06,30094.55,2,1041.93,1,3.3,1,3,2,1,13,14,6,0.43,1,No_Preference,Medium,1
CUST00050,Male,38,Solapur,Website,Platinum,55,1,31,283,11,Blowout,1,0,4,2376.4,3178.19,70000.12,3,801.89,1,4.3,1,6,3,0,1,6,2,0.33,5,Afternoon,Medium,1
CUST00051,Female,20,Pune,Website,Silver,11,0,13,377,28,Blowout,1,1,2,527.96,617.35,7366.27,5,1495.86,0,4.9,0,3,2,2,4,15,6,0.4,3,Evening,Medium,0
CUST00052,Female,35,Solapur,Website,Gold,35,1,19,272,19,Manicure,6,0,4,873.75,967.07,16094.35,4,2185.82,0,4.3,1,1,4,2,3,5,2,0.4,2,No_Preference,Medium,1
CUST00053,Female,41,Aurangabad,AI Calling,Gold,11,0,17,391,21,Haircut,4,1,1,1238.85,1641.4,18300.04,3,1984.47,0,3.3,3,2,4,0,2,13,2,0.15,5,No_Preference,High,1
CUST00054,Female,55,Amravati,Website,Silver,6,0,12,284,30,Threading,4,1,4,805.69,986.98,8362.04,5,3402.62,1,2.6,3,5,0,0,5,11,8,0.73,3,Afternoon,High,1
CUST00055,Female,27,Mumbai,Website,Silver,3,0,4,187,91,Blowout,5,0,0,365.48,489.47,1331.42,4,2032.2,0,4,0,7,3,1,11,19,2,0.11,3,Evening,Medium,0
CUST00056,Female,44,Pune,Website,Silver,6,0,7,437,52,Facial,2,0,2,798.78,1052.86,5128.9,0,0,0,2.9,1,4,1,2,9,15,10,0.67,2,Weekend,High,1
CUST00057,Male,29,Amravati,AI Calling,Silver,16,1,3,298,121,Threading,3,1,4,792.46,737.12,2692.3,1,722.82,1,4.2,0,0,2,1,2,4,1,0.25,3,Morning,Medium,0
CUST00058,Male,24,Akola,Walk-in,Platinum,59,1,57,339,7,Threading,3,1,3,2391.08,1892.93,139562.08,4,2636,1,4.9,1,7,2,2,13,18,2,0.11,1,No_Preference,Medium,0
CUST00059,Male,34,Latur,AI Calling,Platinum,58,1,20,480,18,Manicure,3,1,2,2388.78,2846.26,52068.75,2,1424.72,0,4.5,0,1,3,0,3,1,0,0,4,Morning,High,1
CUST00060,Male,18,Kolhapur,AI Calling,Silver,4,0,8,363,45,Hair_Color,5,1,2,852.67,1154.21,5996.52,2,1448.74,0,4.1,1,1,0,2,2,1,1,1,3,No_Preference,Medium,1
CUST00061,Female,43,Aurangabad,Walk-in,Silver,5,0,9,180,40,Facial,5,1,3,591.38,790.46,4718.85,0,0,0,5,0,6,3,2,2,17,17,1,1,Morning,Low,0
CUST00062,Male,32,Akola,Website,Silver,9,0,1,159,180,Blowout,4,1,4,766.16,1029.71,668.09,1,530.32,1,3.2,2,1,2,2,9,9,9,1,5,Afternoon,Medium,0
CUST00063,Female,50,Akola,Website,Gold,19,1,23,395,15,Pedicure,5,1,1,770.9,1009.69,18436.58,5,3614.32,1,4.1,1,0,4,0,13,13,11,0.85,0,No_Preference,High,1
CUST00064,Male,54,Aurangabad,Website,Gold,16,1,16,331,22,Threading,5,1,0,948.09,954.57,15528.17,5,1625.29,1,3.3,1,7,2,2,1,9,9,1,4,Afternoon,High,1
CUST00065,Male,48,Solapur,Walk-in,Gold,21,1,25,251,14,Blowout,3,1,2,615.85,834.84,14864.21,3,782.16,0,2.6,1,0,0,1,10,16,16,1,3,Afternoon,Medium,0
CUST00066,Female,52,Pune,Website,Gold,27,1,6,395,60,Blowout,6,0,1,1475.93,1691.39,7732.54,0,0,1,3.7,0,4,2,2,2,12,12,1,3,Weekend,High,1
CUST00067,Male,18,Nashik,Website,Silver,5,0,1,459,180,Keratin,6,0,0,599.15,767.65,587.37,1,204.43,0,4.6,1,5,4,2,7,3,2,0.67,3,Evening,High,1
CUST00068,Female,25,Mumbai,Walk-in,Silver,10,0,6,146,60,Waxing,5,0,0,456.35,414.99,2647.65,1,467.27,0,3.5,1,3,3,0,2,16,7,0.44,2,No_Preference,Medium,0
CUST00069,Male,29,Latur,Walk-in,Platinum,44,1,46,283,7,Blowout,7,1,4,1449.34,1521.83,58656.47,2,585.87,0,3.3,1,1,0,0,11,16,13,0.81,1,Weekend,Medium,1
CUST00070,Female,36,Nagpur,Walk-in,Silver,15,1,6,485,60,Waxing,7,0,1,755.97,591.35,4334.6,3,1250.98,1,4.4,1,7,0,2,7,3,3,1,2,No_Preference,High,1
CUST00071,Female,42,Pune,Website,Gold,35,1,26,337,14,Blowout,2,0,2,877.9,709.28,25135.78,1,312.6,1,3.2,1,1,4,2,10,8,8,1,2,Afternoon,High,1
CUST00072,Male,49,Mumbai,AI Calling,Silver,5,0,4,389,91,Facial,7,1,2,420.41,531.85,1881.26,0,0,1,4.3,0,2,0,2,13,4,4,1,4,Weekend,Medium,0
CUST00073,Male,29,Pune,Walk-in,Gold,30,1,29,345,12,Cleanup,5,1,4,648.68,882.69,17399.07,4,3011.98,1,5,1,7,3,1,10,17,8,0.47,0,Evening,Medium,0
CUST00074,Female,30,Akola,Website,Gold,9,0,28,439,13,Cleanup,7,1,2,1205.9,1289.55,31585.2,0,0,0,3.1,1,0,3,2,13,7,7,1,5,No_Preference,High,1
CUST00075,Female,45,Nashik,AI Calling,Gold,6,0,22,241,16,Hair_Color,6,0,0,789.22,820.83,16244.87,2,1059.31,1,4.9,1,0,0,2,12,14,4,0.29,2,Weekend,Medium,0
CUST00076,Female,18,Nagpur,AI Calling,Platinum,44,1,55,433,7,Cleanup,6,1,4,2385.59,3243.3,136180.7,0,0,1,4.8,1,5,2,1,5,8,6,0.75,0,No_Preference,High,1
CUST00077,Female,23,Pune,Website,Silver,4,0,10,424,36,Facial,1,1,0,603.64,773.77,5808.59,3,2113.55,0,3.2,1,1,4,0,12,17,0,0,4,Afternoon,High,1
CUST00078,Male,25,Mumbai,Website,Gold,18,1,8,371,45,Pedicure,5,1,0,1072.44,887.86,9016.74,4,2543.93,1,3.7,1,6,3,2,7,6,0,0,4,Morning,High,1
CUST00079,Male,21,Nagpur,Walk-in,Silver,2,0,3,313,121,Facial,4,1,3,506.77,369.58,1295.44,1,412.48,0,2.9,1,2,0,0,3,19,2,0.11,5,Evening,Medium,0
CUST00080,Male,22,Nagpur,Website,Gold,7,0,5,345,73,Keratin,2,1,3,1221.62,1667.68,6321.75,3,1423.14,1,3.7,0,7,3,1,3,13,7,0.54,2,Morning,Medium,0
CUST00081,Female,42,Kolhapur,AI Calling,Silver,3,0,13,297,28,Facial,5,1,4,379.35,409.03,4761.47,0,0,1,3.9,0,2,2,0,13,9,5,0.56,2,Evening,Medium,0
CUST00082,Female,39,Latur,Website,Gold,24,1,8,230,45,Blowout,4,1,0,1468.76,1692.7,12199.09,2,1150.07,1,4,1,5,2,0,0,10,5,0.5,4,Weekend,Medium,0
CUST00083,Male,45,Akola,AI Calling,Silver,5,0,6,416,60,Facial,6,1,4,435.28,466.46,2937.52,0,0,1,4.6,0,0,4,1,1,16,7,0.44,0,Afternoon,Medium,1
CUST00084,Male,56,Kolhapur,Walk-in,Silver,20,1,10,367,36,Manicure,2,0,3,565.35,688.05,6437.75,1,517.97,1,4.2,1,5,1,1,11,12,8,0.67,0,No_Preference,Medium,0
CUST00085,Male,40,Mumbai,Walk-in,Silver,15,1,1,366,180,Hair_Color,5,0,4,655.07,870.12,665.06,0,0,1,3.9,0,3,2,0,3,18,4,0.22,3,No_Preference,Medium,0
CUST00086,Male,21,Mumbai,Website,Platinum,41,1,22,429,16,Blowout,7,1,1,1931.41,2695.57,38370.9,3,2019.33,1,4.1,0,6,1,2,13,14,1,0.07,2,No_Preference,High,1
CUST00087,Female,21,Solapur,Website,Silver,3,0,11,171,33,Waxing,2,0,4,624.14,595.77,7743.68,4,1137.92,0,3.2,1,4,3,0,2,18,5,0.28,0,No_Preference,Medium,0
CUST00088,Female,38,Pune,Website,Silver,9,0,14,224,26,Facial,6,1,1,321.74,342.22,4477.89,3,853.98,1,3.6,1,6,4,0,11,19,10,0.53,3,Weekend,Medium,0
CUST00089,Female,54,Pune,Website,Silver,10,0,10,242,36,Massage,6,0,4,850.48,1121.32,8150.6,0,0,0,4.4,0,6,1,1,6,4,2,0.5,5,Morning,Medium,0
CUST00090,Female,58,Solapur,Website,Silver,17,1,3,242,121,Haircut,1,1,1,795.59,799.55,2130.99,1,250.13,1,4.1,1,5,3,0,9,6,5,0.83,1,Morning,Medium,0
CUST00091,Male,19,Amravati,AI Calling,Silver,22,1,3,334,121,Pedicure,3,1,1,661.52,629.3,2230.86,2,1260.58,1,4.4,1,3,4,2,7,4,3,0.75,0,Weekend,Medium,1
CUST00092,Female,24,Aurangabad,Website,Gold,32,1,26,365,14,Keratin,5,1,1,782.7,1078.76,23192.8,4,1699.77,0,4.2,0,3,0,0,1,1,0,0,5,No_Preference,Medium,1
CUST00093,Female,33,Pune,AI Calling,Silver,8,0,12,402,30,Waxing,2,0,1,821.69,996.17,11231.52,1,456.7,1,4.1,0,7,1,1,9,12,0,0,4,Weekend,Medium,0
CUST00094,Female,34,Aurangabad,Walk-in,Gold,22,1,5,393,73,Pedicure,4,0,2,929.7,980.74,4598.03,0,0,1,2.6,3,7,1,2,3,11,5,0.45,0,Evening,High,1
CUST00095,Female,37,Pune,AI Calling,Silver,19,1,3,355,121,Blowout,1,0,2,459.76,577.98,1524.91,3,923.91,0,3.2,2,7,1,2,10,14,14,1,1,No_Preference,High,1
CUST00096,Female,40,Latur,AI Calling,Silver,5,0,6,447,60,Haircut,3,1,4,342.37,316.11,2179.1,0,0,1,2.8,3,4,1,1,1,1,1,1,0,No_Preference,High,1
CUST00097,Female,51,Amravati,Website,Gold,9,0,10,274,36,Blowout,4,1,3,1366.3,1519.94,13532.64,5,2385.65,1,2.6,2,7,1,2,2,12,1,0.08,0,Weekend,High,1
CUST00098,Female,28,Nashik,AI Calling,Silver,4,0,3,140,121,Haircut,1,1,0,729.76,873.9,2405.8,0,0,0,4.9,0,2,0,2,0,12,2,0.17,2,Afternoon,Low,0
CUST00099,Male,51,Amravati,Walk-in,Silver,4,0,12,296,30,Manicure,5,1,2,366.92,440.73,4363.22,2,1276.91,0,4.3,1,0,3,0,9,9,9,1,0,Evening,Medium,1
CUST00100,Male,50,Mumbai,AI Calling,Silver,15,1,11,313,33,Haircut,4,1,1,581.59,486.82,6947.95,0,0,0,4.4,1,0,2,2,1,11,3,0.27,2,Morning,Medium,0
CUST00101,Male,43,Solapur,Walk-in,Silver,8,0,11,484,33,Keratin,7,0,2,788.98,1101.66,9860.02,5,3949.02,1,3.5,1,6,3,1,1,17,7,0.41,1,Afternoon,High,1
CUST00102,Female,19,Mumbai,Walk-in,Gold,33,1,24,286,15,Hair_Color,2,1,1,899.46,1104.33,22639.85,4,1805.64,1,3.5,0,6,0,0,2,6,3,0.5,1,Afternoon,Medium,0
CUST00103,Male,40,Nashik,Website,Gold,27,1,25,185,14,Waxing,6,0,3,1195.06,1458.1,33775.03,1,215.71,1,2.6,3,6,3,0,1,10,4,0.4,5,Evening,Medium,0
CUST00104,Female,58,Kolhapur,Website,Gold,31,1,8,485,45,Pedicure,1,0,2,1426.44,1583.52,11528.22,1,649.27,0,2.6,3,6,0,0,12,17,15,0.88,4,Evening,High,1
CUST00105,Female,39,Mumbai,Walk-in,Silver,2,0,12,238,30,Facial,1,0,0,522.24,490.89,5755.28,2,1218.17,0,2.9,3,0,3,0,3,9,3,0.33,4,Morning,Medium,0
CUST00106,Male,51,Mumbai,AI Calling,Silver,1,0,8,332,45,Threading,5,0,0,561.94,585.57,4582.51,2,370.89,1,4.9,1,6,1,0,11,8,0,0,5,Morning,Medium,1
CUST00107,Female,32,Mumbai,Walk-in,Silver,14,1,9,267,40,Pedicure,1,1,2,474.61,473.71,4331.11,3,1563.51,1,3.2,3,6,3,1,6,13,0,0,0,Morning,High,1
CUST00108,Female,27,Nagpur,Website,Gold,29,1,14,474,26,Pedicure,3,0,2,1142.19,891.12,14852.09,5,1200.99,1,2.5,1,6,1,0,3,3,3,1,2,Morning,High,1
CUST00109,Male,32,Aurangabad,AI Calling,Silver,8,0,2,328,180,Blowout,2,0,0,686.14,924.46,1448.83,4,3162,0,4.8,0,1,1,2,3,18,0,0,3,Weekend,Medium,1
CUST00110,Male,59,Amravati,AI Calling,Silver,16,1,10,495,36,Pedicure,6,1,3,421.04,444.35,3775.01,2,1359.82,0,4.3,0,2,4,1,13,10,8,0.8,2,Morning,High,1
CUST00111,Male,46,Kolhapur,Website,Gold,14,1,19,427,19,Cleanup,5,0,4,695.71,507.99,13164.45,2,471.65,1,3.9,1,7,1,2,10,12,7,0.58,2,Evening,High,1
CUST00112,Male,40,Amravati,Website,Silver,2,0,12,457,30,Facial,7,1,2,891.81,886.13,9888.36,0,0,0,3,1,0,1,1,2,11,9,0.82,4,Weekend,High,1
CUST00113,Female,34,Latur,Website,Platinum,46,1,38,447,9,Waxing,3,1,2,2411.1,2397.62,104813.92,5,1666.6,1,4.1,1,0,2,1,5,14,8,0.57,2,No_Preference,High,1
CUST00114,Female,26,Aurangabad,AI Calling,Silver,4,0,12,384,30,Massage,5,1,0,716.1,544.69,7822.64,5,1588.92,1,3.2,2,2,3,1,4,16,6,0.38,3,Morning,High,1
CUST00115,Female,53,Kolhapur,AI Calling,Gold,11,0,7,294,52,Cleanup,5,1,0,1155.84,967.53,9180.73,2,866.74,1,4.2,0,7,1,0,7,4,4,1,1,Evening,Medium,1
CUST00116,Female,26,Latur,Website,Silver,10,0,13,159,28,Haircut,2,0,0,346.89,261.71,5090.38,5,785.57,1,4.3,0,5,1,1,10,15,8,0.53,5,Evening,Low,0
CUST00117,Female,33,Akola,Website,Platinum,18,1,26,428,14,Massage,1,1,0,2152.28,1748.12,53544.95,1,583.52,0,3.2,2,3,4,2,3,8,5,0.62,3,Morning,High,1
CUST00118,Male,53,Nagpur,AI Calling,Silver,18,1,9,313,40,Pedicure,5,0,2,780.99,609.28,6014.49,5,2344.3,1,3.1,2,7,3,1,13,6,2,0.33,4,Evening,High,1
CUST00119,Female,50,Mumbai,AI Calling,Silver,7,0,1,232,180,Facial,4,1,1,670.47,892.83,716.78,2,371.27,1,4.2,1,7,0,0,3,9,6,0.67,1,Morning,Medium,1
CUST00120,Female,48,Nagpur,AI Calling,Silver,5,0,13,408,28,Facial,2,1,0,326.8,406.28,3811.76,2,350.07,1,4.4,0,2,2,2,12,2,0,0,2,Morning,Medium,0
CUST00121,Female,23,Amravati,Walk-in,Platinum,53,1,37,297,9,Facial,2,0,3,1838.54,2410.34,70847.4,0,0,1,2.9,1,5,2,2,9,1,1,1,2,Afternoon,Medium,0
CUST00122,Female,27,Kolhapur,Website,Platinum,31,1,58,496,7,Waxing,7,1,3,1440.62,1148.15,76013.84,5,1812.65,1,5,1,5,0,2,13,3,3,1,2,Weekend,High,1
CUST00123,Male,33,Latur,Walk-in,Silver,18,1,1,458,180,Threading,4,1,2,636.74,744.03,545.39,2,379.11,0,2.6,3,7,0,1,9,8,1,0.12,3,Weekend,High,1
CUST00124,Male,21,Nashik,Website,Gold,21,1,21,273,17,Facial,2,1,0,1293.13,1721.42,23369.31,5,1808.88,1,2.7,1,0,2,1,0,5,3,0.6,1,No_Preference,Medium,0
CUST00125,Male,39,Latur,AI Calling,Gold,7,0,23,435,15,Waxing,5,1,4,994,1359.12,23824.41,4,2940.06,1,3.3,3,4,2,0,4,5,5,1,2,Evening,High,1
CUST00126,Female,30,Nagpur,Website,Silver,23,1,12,354,30,Blowout,3,1,0,442.86,328.09,5838.41,5,2437.06,1,3,3,1,3,0,11,6,0,0,5,Morning,High,1
CUST00127,Female,33,Mumbai,AI Calling,Silver,1,0,3,287,121,Waxing,1,1,2,570.55,550.79,1901.44,2,313.83,1,2.7,3,4,3,0,9,13,3,0.23,2,Morning,High,1
CUST00128,Female,46,Nashik,Website,Platinum,21,1,37,369,9,Hair_Color,6,0,4,1236.73,1180.36,47395.54,4,2282.68,1,4.8,0,0,0,0,5,7,3,0.43,5,Afternoon,Medium,1
CUST00129,Male,23,Amravati,AI Calling,Silver,9,0,6,145,60,Waxing,7,0,2,342.91,284.95,1957.62,2,1490.48,0,2.9,1,6,3,2,9,6,3,0.5,1,Evening,Medium,0
CUST00130,Female,43,Nashik,Website,Silver,5,0,3,489,121,Massage,7,1,1,533.75,431.3,1635.88,1,263.66,0,3.2,2,1,4,2,6,15,10,0.67,5,No_Preference,High,1
CUST00131,Female,28,Aurangabad,Walk-in,Silver,6,0,12,446,30,Blowout,3,0,3,544.86,522.9,6871.45,5,2245.84,0,3.5,1,0,4,2,0,17,11,0.65,1,Morning,High,1
CUST00132,Male,41,Akola,Walk-in,Silver,13,1,3,224,121,Detan,2,1,2,387.36,464.16,1203.64,5,1872.32,0,2.5,3,7,1,1,7,17,0,0,3,Evening,Medium,0
CUST00133,Male,46,Mumbai,Website,Gold,19,1,12,177,30,Massage,4,0,0,1414.65,1713.79,15635.49,4,724.13,1,2.7,2,2,0,2,9,9,6,0.67,5,Weekend,Medium,0
CUST00134,Male,20,Nagpur,AI Calling,Silver,3,0,4,428,91,Manicure,2,0,0,524.06,578.6,2166.09,4,1255.06,0,3.7,1,1,0,2,3,17,15,0.88,2,Weekend,High,1
